no,date,season,year,month,hour,day,day_type,weather,temperature,atemp,humidity,wind_speed,casual,registered,count,temp_category
1,2011-01-01,Spring,2011,January,0,Saturday,Weekend,Clear,3.2799999999999994,0.2879,81.0,0.0,3,13,16,Mild
2,2011-01-01,Spring,2011,January,1,Saturday,Weekend,Clear,2.34,0.2727,80.0,0.0,8,32,40,Mild
3,2011-01-01,Spring,2011,January,2,Saturday,Weekend,Clear,2.34,0.2727,80.0,0.0,5,27,32,Mild
4,2011-01-01,Spring,2011,January,3,Saturday,Weekend,Clear,3.2799999999999994,0.2879,75.0,0.0,3,10,13,Mild
5,2011-01-01,Spring,2011,January,4,Saturday,Weekend,Clear,3.2799999999999994,0.2879,75.0,0.0,0,1,1,Mild
6,2011-01-01,Spring,2011,January,5,Saturday,Weekend,MistCloud,3.2799999999999994,0.2576,75.0,0.0896,0,1,1,Mild
7,2011-01-01,Spring,2011,January,6,Saturday,Weekend,Clear,2.34,0.2727,80.0,0.0,2,0,2,Mild
8,2011-01-01,Spring,2011,January,7,Saturday,Weekend,Clear,1.4000000000000004,0.2576,86.0,0.0,1,2,3,Mild
9,2011-01-01,Spring,2011,January,8,Saturday,Weekend,Clear,3.2799999999999994,0.2879,75.0,0.0,1,7,8,Mild
10,2011-01-01,Spring,2011,January,9,Saturday,Weekend,Clear,7.040000000000001,0.3485,76.0,0.0,8,6,14,Mild
11,2011-01-01,Spring,2011,January,10,Saturday,Weekend,Clear,9.86,0.3939,76.0,0.2537,12,24,36,Mild
12,2011-01-01,Spring,2011,January,11,Saturday,Weekend,Clear,8.919999999999998,0.3333,81.0,0.2836,26,30,56,Mild
13,2011-01-01,Spring,2011,January,12,Saturday,Weekend,Clear,11.739999999999998,0.4242,77.0,0.2836,29,55,84,Mild
14,2011-01-01,Spring,2011,January,13,Saturday,Weekend,MistCloud,13.620000000000001,0.4545,72.0,0.2985,47,47,94,Mild
15,2011-01-01,Spring,2011,January,14,Saturday,Weekend,MistCloud,13.620000000000001,0.4545,72.0,0.2836,35,71,106,Mild
16,2011-01-01,Spring,2011,January,15,Saturday,Weekend,MistCloud,12.68,0.4394,77.0,0.2985,40,70,110,Mild
17,2011-01-01,Spring,2011,January,16,Saturday,Weekend,MistCloud,11.739999999999998,0.4242,82.0,0.2985,41,52,93,Mild
18,2011-01-01,Spring,2011,January,17,Saturday,Weekend,MistCloud,12.68,0.4394,82.0,0.2836,15,52,67,Mild
19,2011-01-01,Spring,2011,January,18,Saturday,Weekend,LightRainSnow,11.739999999999998,0.4242,88.0,0.2537,9,26,35,Mild
20,2011-01-01,Spring,2011,January,19,Saturday,Weekend,LightRainSnow,11.739999999999998,0.4242,88.0,0.2537,6,31,37,Mild
21,2011-01-01,Spring,2011,January,20,Saturday,Weekend,MistCloud,10.8,0.4091,87.0,0.2537,11,25,36,Mild
22,2011-01-01,Spring,2011,January,21,Saturday,Weekend,MistCloud,10.8,0.4091,87.0,0.194,3,31,34,Mild
23,2011-01-01,Spring,2011,January,22,Saturday,Weekend,MistCloud,10.8,0.4091,94.0,0.2239,11,17,28,Mild
24,2011-01-01,Spring,2011,January,23,Saturday,Weekend,MistCloud,13.620000000000001,0.4545,88.0,0.2985,15,24,39,Mild
25,2011-01-02,Spring,2011,January,0,Sunday,Weekend,MistCloud,13.620000000000001,0.4545,88.0,0.2985,4,13,17,Mild
26,2011-01-02,Spring,2011,January,1,Sunday,Weekend,MistCloud,12.68,0.4394,94.0,0.2537,1,16,17,Mild
27,2011-01-02,Spring,2011,January,2,Sunday,Weekend,MistCloud,11.739999999999998,0.4242,100.0,0.2836,1,8,9,Mild
28,2011-01-02,Spring,2011,January,3,Sunday,Weekend,MistCloud,13.620000000000001,0.4545,94.0,0.194,2,4,6,Mild
29,2011-01-02,Spring,2011,January,4,Sunday,Weekend,MistCloud,13.620000000000001,0.4545,94.0,0.194,2,1,3,Mild
30,2011-01-02,Spring,2011,January,6,Sunday,Weekend,LightRainSnow,11.739999999999998,0.4242,77.0,0.2985,0,2,2,Mild
31,2011-01-02,Spring,2011,January,7,Sunday,Weekend,MistCloud,10.8,0.4091,76.0,0.194,0,1,1,Mild
32,2011-01-02,Spring,2011,January,8,Sunday,Weekend,LightRainSnow,10.8,0.4091,71.0,0.2239,0,8,8,Mild
33,2011-01-02,Spring,2011,January,9,Sunday,Weekend,MistCloud,9.86,0.3939,76.0,0.2239,1,19,20,Mild
34,2011-01-02,Spring,2011,January,10,Sunday,Weekend,MistCloud,8.919999999999998,0.3485,81.0,0.2239,7,46,53,Mild
35,2011-01-02,Spring,2011,January,11,Sunday,Weekend,MistCloud,8.919999999999998,0.3333,71.0,0.2537,16,54,70,Mild
36,2011-01-02,Spring,2011,January,12,Sunday,Weekend,MistCloud,8.919999999999998,0.3333,66.0,0.2985,20,73,93,Mild
37,2011-01-02,Spring,2011,January,13,Sunday,Weekend,MistCloud,8.919999999999998,0.3485,66.0,0.1343,11,64,75,Mild
38,2011-01-02,Spring,2011,January,14,Sunday,Weekend,LightRainSnow,8.919999999999998,0.3485,76.0,0.194,4,55,59,Mild
39,2011-01-02,Spring,2011,January,15,Sunday,Weekend,LightRainSnow,7.98,0.3333,81.0,0.1642,19,55,74,Mild
40,2011-01-02,Spring,2011,January,16,Sunday,Weekend,LightRainSnow,7.98,0.3333,71.0,0.1642,9,67,76,Mild
41,2011-01-02,Spring,2011,January,17,Sunday,Weekend,Clear,7.98,0.3333,56.99999999999999,0.194,7,58,65,Mild
42,2011-01-02,Spring,2011,January,18,Sunday,Weekend,MistCloud,8.919999999999998,0.3333,46.0,0.3284,10,43,53,Mild
43,2011-01-02,Spring,2011,January,19,Sunday,Weekend,Clear,7.040000000000001,0.2879,42.0,0.4478,1,29,30,Mild
44,2011-01-02,Spring,2011,January,20,Sunday,Weekend,Clear,6.1,0.2727,39.0,0.3582,5,17,22,Mild
45,2011-01-02,Spring,2011,January,21,Sunday,Weekend,Clear,4.220000000000001,0.2273,44.0,0.3284,11,20,31,Cold
